,ADJ,ADP,ADV,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SPACE,SYM,VERB,X
Ironic,0.08506950416032874,0.07826972777319033,0.06479541940405928,0.01762921805117941,0.07348797455194256,0.0076417914524110975,0.16435230522385638,0.007932247619610946,0.022387943393350384,0.06310933699684022,0.05880488172947537,0.14581916948262652,0.03144004544324763,0.004066671345964228,0.1748455556574747,0.0003482077144425957
Non-ironic,0.08008934215304976,0.08305259119036489,0.07084610054119586,0.023582019975513815,0.08099992640658818,0.005764868994695638,0.15843533116644298,0.009827862387376346,0.022022784478979644,0.06143466300402289,0.04387781044049915,0.1411971427320019,0.03239818668492657,0.005572935409709815,0.1800886895217098,0.0008097449129239939
