,CARDINAL,DATE,EVENT,FAC,GPE,LANGUAGE,LAW,LOC,MONEY,NORP,ORDINAL,ORG,PERCENT,PERSON,PRODUCT,QUANTITY,TIME,WORK_OF_ART
Ironic,0.004144130673631573,0.003744319365283322,6.625588020936858e-05,8.177149772675236e-06,0.006831949883138225,,0.0001554087669146457,0.0008199438472418546,0.0012149327185696948,0.00809000525119898,0.0009654767238175072,0.013507957371661635,0.0011864091616655375,0.010383220435344745,0.00014393086830198688,8.177149772675236e-06,0.0004179641776541001,0.00027961950332900477
Non-ironic,0.004955129755061319,0.004464174516210358,0.00010643037708967456,7.802580001738619e-05,0.004594977778074479,4.386606228980845e-05,0.00012644533833536457,0.0004992873200220675,0.0008486594240359019,0.006176811318474922,0.0009127350186774784,0.008828580057054326,0.0007734296947865515,0.009019817325815034,4.900463266854025e-05,0.0002248650817064865,0.0004436324839556265,0.0006765463338072422
