,!,"""",""")",#,%,&,',(,),*,",",-,--,---,----------,.,..,...,....,.....,......,.......,/,:,:(,:),:-),;,?,[,\,],_,§,–,—,‘,“,”
Ironic,0.009633657929896,0.00941429967350625,8.177149772675236e-06,0.0,0.0011002765173933583,0.0010222710955976428,0.0012767579496651346,0.0005810526840562803,0.0007973497776583233,0.005973422104688514,0.02724849714084581,0.005296473159828586,0.0001216595041775475,0.0,0.0,0.05845395126695466,0.0006217010092979085,0.003805335052554886,0.0010501189116925514,0.0,0.0,0.0,0.0023710105584695096,0.0025338708251821775,0.00010335917312661498,0.00016149870801033592,0.0,0.000785818851201871,0.014820624540220607,0.0004895622991604483,8.33541718763024e-05,0.00042094712637348293,4.906289863605142e-05,0.0,8.177149772675236e-06,7.599939200486396e-05,8.177149772675236e-06,0.0002865706157261726,0.0003148505843790611
Non-ironic,0.0038815325549372624,0.008161683779780451,0.0,2.766328252510443e-05,0.0005921323558311626,0.0014954901448329546,0.0015994420087491652,0.002037487471645374,0.0030041765123211372,0.003820372553434142,0.02417628904960167,0.006119120073771228,0.00012993431641311016,1.0034720131655527e-05,6.222136495008291e-06,0.05971305470869958,0.0004382070610060155,0.003518704303361901,0.000865906200875243,0.0002845082079232239,5.3086906502951824e-05,9.656051447442112e-06,0.004311460019193478,0.0011780020016683586,9.892018592120947e-05,0.00015418733433063012,2.5369295510323735e-05,0.0015313160535089785,0.010569912714778503,0.0046918489644470086,0.0,0.0038952129120215493,1.1372682815876266e-05,1.2041664157986634e-05,1.2041664157986634e-05,2.807392695432839e-05,1.7354972170297362e-05,0.0001097531646730637,0.00012927752703295665
